accident_index,accident_year,accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
20181357T0493,2018,1357T0493,1,1,Passenger,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Rear seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181357T0493,2018,1357T0493,1,2,Passenger,Male,NA,16 - 20,Serious,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181357U0564,2018,1357U0564,2,1,Driver or rider,Male,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Motorcycle over 500cc rider or passenger,Urban area,Most deprived 10%
20181357U0662,2018,1357U0662,2,1,Driver or rider,Male,NA,6 - 10,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Cyclist,Data missing or out of range,Data missing or out of range
20181357U0925,2018,1357U0925,1,1,Pedestrian,Male,NA,36 - 45,Slight,Unknown or other,Unknown or other,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Least deprived 10%
20181357U1257,2018,1357U1257,2,1,Driver or rider,Male,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
20181357U1419,2018,1357U1419,1,1,Pedestrian,Female,NA,66 - 75,Serious,"In carriageway, crossing elsewhere",Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 10-20%
20181357U1661,2018,1357U1661,1,1,Driver or rider,Male,NA,6 - 10,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Cyclist,Urban area,Most deprived 10%
20181357V0353,2018,1357V0353,1,1,Passenger,Female,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Goods vehicle (over 3.5t. and under 7.5t.) occupant,Data missing or out of range,Data missing or out of range
20181357V0626,2018,1357V0626,2,1,Driver or rider,Male,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Motorcycle over 125cc and up to 500cc rider or  passenger,Data missing or out of range,Data missing or out of range
20181357V1377,2018,1357V1377,1,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135810470,2018,135810470,1,1,Driver or rider,Female,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Rural,Less deprived 40-50%
2018135811158,2018,135811158,2,1,Driver or rider,Male,NA,6 - 10,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Cyclist,Data missing or out of range,Data missing or out of range
2018135811451,2018,135811451,1,1,Driver or rider,Male,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 10-20%
2018135820272,2018,135820272,1,1,Driver or rider,Male,NA,21 - 25,Fatal,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
